amfi_code,cagr_3y,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score,score_100,overall_rank
100016,0.01292649342495622,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,1.55,35.0,35.0,39.0,32.0,34.0,35.25,99.92912827781714,2.0
100025,0.039163899571040384,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,0.56,34.0,39.0,38.0,2.0,4.0,28.25,80.0850460666194,8.0
100033,0.32442459421956116,1.093698743534631,0.2719535450128533,-0.16217208574644848,1.38,4.0,7.0,6.0,17.0,20.0,8.7,24.66335931963146,37.0
101206,0.2896769452874166,1.0272133278753697,0.21399784776051212,-0.11291596329323073,1.6,9.0,9.0,12.0,36.5,9.0,13.725,38.908575478384115,32.0
101207,-0.04152381044854481,0.16266076928646786,0.10897091901704538,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,32.175,91.21190644932669,4.0
101208,0.06315784491375509,-0.8155673679088258,0.060861457957871144,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,27.849999999999998,78.95109851169381,9.0
102885,0.1966726206830185,0.817099337349437,0.17048756803412696,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,18.999999999999996,53.86250885896525,23.0
102886,-0.007674063178547241,-0.2058316078547031,0.028969397866379445,-0.2800112356639287,1.51,37.0,36.0,40.0,24.5,35.0,35.275000000000006,100.0,1.0
102887,0.25556187904126526,0.6195175900829826,0.16211256794033255,-0.21539827112383225,1.64,13.0,22.0,21.0,39.5,30.0,22.525000000000002,63.85542168674698,17.0
118632,0.22652359830098634,1.0816591793457038,0.21829397904608644,-0.17414075086657232,1.51,14.0,8.0,11.0,24.5,23.0,14.375,40.75124025513819,28.0
118633,0.2108997654925684,0.6452074382933218,0.15643835948169668,-0.18629743138595511,0.72,15.0,21.0,22.0,5.5,26.0,17.575,49.82282069454287,24.0
118634,0.08007927728656083,0.4484340089089915,0.1750072167561127,-0.2334488614483311,1.53,27.0,26.0,18.0,28.5,32.0,25.674999999999997,72.78525868178595,12.0
118635,0.20008208380471482,0.6648569985490621,0.1513635464823924,-0.1165062450540909,0.89,17.0,19.0,23.0,13.0,10.0,17.4,49.32671863926292,25.0
118636,0.040622050237771434,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,0.55,33.0,38.0,35.0,1.0,6.0,27.15,76.96669029057405,11.0
119092,0.005258871209757432,0.030784850954585916,0.0689952982167755,-0.1440161790933726,1.64,36.0,31.0,30.0,39.5,15.0,31.974999999999998,90.64493267186391,5.0
119093,0.20816771175535864,0.12961449795669325,0.08232801295222093,-0.21751396370148224,0.75,16.0,29.0,28.0,8.0,31.0,21.950000000000003,62.22537207654146,18.0
119094,0.35111802096428524,0.9982309868636403,0.2607666908004223,-0.20960883862039192,1.38,1.0,11.0,9.0,17.0,28.0,10.2,28.915662650602403,35.0
119095,-0.11705806723995271,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,34.1,96.66902905740609,3.0
119120,0.05840358798463097,-0.22657538662791568,0.05620895216638369,-0.04328728923970093,0.77,32.0,37.0,34.0,9.0,5.0,27.500000000000004,77.95889440113395,10.0
119551,0.3045652442030289,1.2082665673727178,0.23201007160635082,-0.1501238549864533,1.54,6.0,4.0,10.0,30.5,17.0,11.075,31.39617292700212,34.0
